ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,What word best describes this sound? ,On a scale from 1 to 5 how loud was this sound?,What kind of sound is this? ,Other - What kind of sound is this? ,On a scale from 1 to 5 how loud was this sound? (from most faint to loudest),Is there anything else we need to know about this sound? ,Are you outdoors or indoors? ,"What level are you on?  (0 = ground, 9= 9th floor or higher)",x,y
86,90d56389-04b6-4e93-827c-b9460cf733dc,4/18/2022 8:27:16 PM,adsp22_sl7362,4/18/2022 8:27:16 PM,adsp22_sl7362,Shuttlecock,,Human,,2,,Outdoors,2,54.4330762763782,24.5244688466499
87,b9ac4d40-46ef-48e7-b38c-9d8f1ffcdb99,4/18/2022 8:43:53 PM,adsp22_sl7362,4/18/2022 8:43:53 PM,adsp22_sl7362,Motorbike,,Machine,,Faint 1,,Outdoors,2,54.4327367434415,24.5247101817813
88,37f8fe8c-9677-415d-b998-b5ed085ef6e7,4/18/2022 8:43:54 PM,adsp22_sl7362,4/18/2022 8:43:54 PM,adsp22_sl7362,Leave swoosh,,Natural,,Faint 1,,Outdoors,2,54.4336190543813,24.5248225850664
89,48ecd054-1d38-44b1-b776-660f3c7d9f6d,4/18/2022 8:43:55 PM,adsp22_sl7362,4/18/2022 8:43:55 PM,adsp22_sl7362,Leave swoosh,,Natural,,Faint 1,,Outdoors,2,54.4336471734031,24.5248155886228
90,0135e24b-8383-4444-a9b1-5d8ee14985ac,4/18/2022 8:44:00 PM,adsp22_sl7362,4/18/2022 8:44:00 PM,adsp22_sl7362,Students talking,,Human,,2,,Indoors,1,54.4337162447237,24.5243544852761
91,623eeee3-7841-44fc-bcd2-ca117378548f,4/18/2022 8:44:02 PM,adsp22_sl7362,4/18/2022 8:44:02 PM,adsp22_sl7362,Buzzer,,Machine,,3,,Indoors,1,54.4334761686866,24.5245858583254
92,326a5bc9-9f55-4348-812f-84e113237363,4/18/2022 8:44:04 PM,adsp22_sl7362,4/18/2022 8:44:04 PM,adsp22_sl7362,Footstep from downstairs,,Human,,Faint 1,,Indoors,1,54.4332426540136,24.5247243361145
93,af435c7a-109a-4a16-aff5-ae9db6310399,4/18/2022 8:44:05 PM,adsp22_sl7362,4/18/2022 8:44:05 PM,adsp22_sl7362,Chair push,,Human,,2,,Outdoors,0,54.4337218351706,24.5243079083797
94,ddb81c34-bbf7-4e5b-a5d3-3387e49cf32b,4/18/2022 8:44:14 PM,adsp22_sl7362,4/18/2022 8:44:14 PM,adsp22_sl7362,Banner flip sound with wind ,,other,Fabric,Faint 1,,Outdoors,0,54.4336988822971,24.5242640293075
95,0b73c68b-c81d-4c94-b293-048d53086300,4/18/2022 8:44:16 PM,adsp22_sl7362,4/18/2022 8:44:16 PM,adsp22_sl7362,Crickets,,Natural,,Faint 1,,Outdoors,0,54.4354740887475,24.5228966820206
